Title,Doi,Method_name,Spatial_mapping_strategy,Optimization_algorithm,Image_character_space,Representative_algorithms,Source
"Tabular-to-Image Encodings for Convolutional Neural Networks: A Comprehensive Review of Algorithmic Architectures, Mathematical Formulations, and Empirical Performance",10.1371/journal.pone.0340005,DeepInsight,Unsupervised continuous manifold coordinates scaled to a discrete 2D grid,"t-SNE, PCA, or Kernel PCA",Dense (Max or average overlapping intensities),"t-SNE, PCA, kPCA",1
"Tabular-to-Image Encodings for Convolutional Neural Networks: A Comprehensive Review of Algorithmic Architectures, Mathematical Formulations, and Empirical Performance",10.1371/journal.pone.0340005,IGTD,Rank-preserving mapping aligning feature similarities with pixel distances,Quadratic Assignment Problem (QAP) heuristic / Local Search,"Dense (Unique, collision-free pixel positions)",IGTD,1
"Tabular-to-Image Encodings for Convolutional Neural Networks: A Comprehensive Review of Algorithmic Architectures, Mathematical Formulations, and Empirical Performance",10.1371/journal.pone.0340005,REFINED,Metric distance preservation via Bayesian surrogates,Bayesian Multidimensional Scaling (BMDS),Dense,REFINED,1
"Tabular-to-Image Encodings for Convolutional Neural Networks: A Comprehensive Review of Algorithmic Architectures, Mathematical Formulations, and Empirical Performance",10.1371/journal.pone.0340005,TabSOM,"Deterministic, topology-preserving layouts via prototype nodes",Self-Organizing Maps (SOM) + Hungarian assignment,Dense (Multi-channel Gaussian scales),TabSOM,1
"Tabular-to-Image Encodings for Convolutional Neural Networks: A Comprehensive Review of Algorithmic Architectures, Mathematical Formulations, and Empirical Performance",10.1371/journal.pone.0340005,TINTO,Discretized coordinate mapping with Gaussian signal diffusion,t-SNE / PCA with signal blurring,Dense (Blurred),TINTO,1
"Tabular-to-Image Encodings for Convolutional Neural Networks: A Comprehensive Review of Algorithmic Architectures, Mathematical Formulations, and Empirical Performance",10.1371/journal.pone.0340005,BIE & cBIE,IEEE 754 float binary decomposition with optional correlation reordering,Binary decomposition (Non-parametric),Sparse (Binary bits),"BIE, cBIE",1
"Tabular-to-Image Encodings for Convolutional Neural Networks: A Comprehensive Review of Algorithmic Architectures, Mathematical Formulations, and Empirical Performance",10.1371/journal.pone.0340005,SuperTML,2D textual glyph matrices on typographic grids,Font rendering engines / Global feature importance,Textual Glyph,SuperTML,1
"Tabular-to-Image Encodings for Convolutional Neural Networks: A Comprehensive Review of Algorithmic Architectures, Mathematical Formulations, and Empirical Performance",10.1371/journal.pone.0340005,S-IGTD,Class-supervised group correlation structure,Within-And-Between group covariance optimization,Dense (Class-discriminative clusters),S-IGTD,1
Tabular Image: a method to convert tabular data to images for convolutional neural networks,10.1038/s41598-019-47765-6,DeepInsight,Manifold Projection (dimensionality reduction),t-SNE / Principal Component Analysis,Sparse / Dense,CNN,2
Tabular Image: a method to convert tabular data to images for convolutional neural networks,10.1038/s41598-021-90923-y,IGTD,Pairwise distance ranking matching,Frobenius norm minimization,Compact / Dense,CNN,2
Tabular Image: a method to convert tabular data to images for convolutional neural networks,10.1038/s41467-020-18197-y,REFINED,Neighborhood dependencies,Bayesian metric multidimensional scaling,Not in source,CNN,2
Tabular Image: a method to convert tabular data to images for convolutional neural networks,Not in source,Tabular Image,Spearman Correlation maximization in adjacent areas,$0/1$  integer programming (solved via Pyomo with Gurobi solver),Dense,ConvNeXt,2
Tabular Image: a method to convert tabular data to images for convolutional neural networks,Not in source,One-hot transformation,One-hot encoding reshaping,Discretization and relief algorithm,Sparse binary matrix,Relief-CNN,2
Tabular Image: a method to convert tabular data to images for convolutional neural networks,Not in source,SuperTML,Textual feature projection,Two-Dimensional Word Embedding,Textual Glyph / Black-and-white,CNN,2
Robust and Interpretable Tabular Data Classification via Multi-Channel Image Conversion and Channel-Wise Gating,10.20944/preprints202606.0634.v1,TabGCNet (Tab2MI + GCNet),One-channel-per-feature (Multi-channel stack),Scaled Softmax / Learnable Channel-wise Gating (LCG),Dense (Grayscale intensities and Textual characters),TabGCNet,3
Robust and Interpretable Tabular Data Classification via Multi-Channel Image Conversion and Channel-Wise Gating,10.20944/preprints202606.0634.v1,DeepInsight,Manifold Projection,t-SNE or kernel PCA,Sparse (Pixel intensity),DeepInsight,3
Robust and Interpretable Tabular Data Classification via Multi-Channel Image Conversion and Channel-Wise Gating,10.20944/preprints202606.0634.v1,REFINED,Manifold Projection (Bayesian MDS),Hill climbing / Bayesian MDS,Sparse (Pixel intensity),REFINED,3
Robust and Interpretable Tabular Data Classification via Multi-Channel Image Conversion and Channel-Wise Gating,10.20944/preprints202606.0634.v1,IGTD,Rank-Based Permutation,Iterative minimization of distance rank discrepancy,Dense (Pixel intensity),IGTD,3
Robust and Interpretable Tabular Data Classification via Multi-Channel Image Conversion and Channel-Wise Gating,10.20944/preprints202606.0634.v1,SuperTML,Data-based rendering,Verbatim character placement,Textual Glyph (Single image plane),SuperTML,3
Table2Image: Interpretable Tabular Data Classification with Realistic Image Transformations,10.48550/arXiv.2412.06265,Table2Image,Autoencoder-based image generation (random class-specific mapping),AdamW (with combined Reconstruction and Cross-Entropy loss),Dense (Realistic Image Transformations),"CNN, MLP-based Autoencoder","4, 5"
Table2Image: Interpretable Tabular Data Classification with Realistic Image Transformations,10.48550/arXiv.2412.06265,Table2Image-VIF,VIF-informed weight initialization and concatenation,Variance Inflation Factor (VIF) and AdamW,Dense (Realistic Image Transformations),CNN,4
Table2Image: Interpretable Tabular Data Classification with Realistic Image Transformations,10.48550/arXiv.2412.06265,DeepInsight,Similarity-based mapping on a 2D plane (Manifold Projection),t-SNE or Kernel PCA,Sparse (Pixel-based),CNN,"4, 5"
Table2Image: Interpretable Tabular Data Classification with Realistic Image Transformations,10.48550/arXiv.2412.06265,IGTD,Rank-based permutation (neighborhood preservation),Frobenius norm minimization,Dense / Sparse (Pixel-based),CNN,"4, 5"
Table2Image: Interpretable Tabular Data Classification with Realistic Image Transformations,10.48550/arXiv.2412.06265,HACNet,Embedding into alphabetic image representations (Attention-based),End-to-end backpropagation,Textual Glyph (Alphabetic Images),ResNet-18,"4, 5"
A comparative analysis of converters of tabular data into image for the classification of Arboviruses using Convolutional Neural Networks,10.1371/journal.pone.0295598,DeepInsight,"2D Dimensionality Reduction (T-SNE, PCA, or kPCA)",Convex Hull and Rotation,Dense (pixel per feature),"T-SNE, PCA, kPCA",6
A comparative analysis of converters of tabular data into image for the classification of Arboviruses using Convolutional Neural Networks,10.1371/journal.pone.0295598,REFINED,Bayesian Multidimensional Scaling (BMDS),Hill Climbing,Dense (compact grayscale images),"BMDS, Hill Climbing",6
A comparative analysis of converters of tabular data into image for the classification of Arboviruses using Convolutional Neural Networks,10.1371/journal.pone.0295598,IGTD,Rank-based distance mapping,Minimizing difference between feature and pixel distance ranking matrices,Dense (pixel per feature),"Euclidean distance, Pearson correlation",6
LM-IGTD: a 2D image generator for low-dimensional and mixed-type tabular data to leverage the potential of convolutional neural networks,10.48550/arXiv.2406.14566,LM-IGTD,Stochastic noise generation and modified IGTD (rank-based),Greedy iterative swapping (minimizing gap between ranking matrices),Dense (Grayscale 2D image),CNN-based classification (with Grad-CAM),"7, 8"
DeepInsight: A methodology to transform a non-image data to an image for convolution neural network architecture,10.1038/s41598-019-47765-6,DeepInsight,Manifold projection (t-SNE or kPCA),t-SNE / Convex Hull / Rotation,Dense/Sparse (Feature mapping to pixel locations),"t-SNE, kPCA, CNN","7, 8, 9, 10, 11, 12"
Representation of features as images with neighborhood dependencies for compatibility with convolutional neural networks,10.1038/s41467-020-18197-y,REFINED,Bayesian Multidimensional Scaling (MDS),Hill-climbing and Bayesian MDS optimization,Dense (Pixels contain at most one feature),"MDS, Bayesian MDS, CNN","7, 8, 11"
Converting tabular data into images for deep learning with convolutional neural networks,10.1038/s41598-021-90923-y,IGTD (Image Generator for Tabular Data),Rank-based permutation (Minimizing feature/pixel distance rank difference),Greedy iterative search (minimizing Frobenius norm),Compact / Dense (Grayscale 2D image),"IGTD algorithm, CNNs","7, 8, 13, 14, 11, 12"
Convolutional neural network learning for generic data classification,10.1016/j.ins.2018.08.047,EDLT,Feature reordering based on correlation matrix,Pearson correlation reordering,Dense (Synthetic matrix),EDLT,7
DeepFeature: feature selection in nonimage data using convolutional neural network,10.1093/bib/bbab297,DeepFeature,Manifold projection with overlap reduction,Snowfall compression algorithm,Dense,Snowfall compression,7
Vec2image: an explainable artificial intelligence model for the feature representation and classification of high-dimensional biological data by vector-to-image conversion,10.1093/bib/bbab584,Vec2image,Nonlinear Dimensionality Reduction,"t-SNE, k-PCA, and UMAP",Dense,"UMAP, SMOTE",7
Tabular-to-Image Transformations for the Classification of Anonymous Network Traffic using Deep Residual Networks,10.1109/ACCESS.2023.3283181,BIE,Bit representation stacking (IEEE 754 float binary decomposition),Binary encoding (Non-parametric),Textual/Binary (Black/White pixels for 0s and 1s),BIE,"7, 8, 12"
Towards efficient image-based representation of tabular data,10.1007/s00521-023-08657-3,FC-Viz,Correlation-based cluster arrangement,Optimization of spatial arrangement of clusters,Dense,FC-Viz,8
HACNet: End-to-end learning of interpretable table-to-image converter and convolutional neural network,10.1016/j.knosys.2023.111293,HACNet,Attention-based mapping,Gumbel-Softmax with decreasing temperature,Dense,HACNet,8
A DYNAMIC WEIGHTED TABULAR METHOD FOR CONVOLUTIONAL NEURAL NETWORKS,10.48550/arXiv.2205.10386,Dynamic Weighted Tabular Method (DWTM),Best-fit canvas space allocation based on feature importance weights,Pearson Correlation and Chi-Square (associativity weights),Textual Glyph (Monospace font),"Resnet-18, DenseNet, Inception",9
SuperTML: Two-dimensional word embedding for the precognition on structured tabular data,10.1109/CVPRW.2019.00092,SuperTML,Two-dimensional word embedding / Static Textbox Allocation,Static allocation or relevance-based sizing,Textual Glyph,CNN,9
Super Characters: A conversion from sentiment classification to image classification,10.48550/arXiv.1810.07653,Super Characters Method,Two-dimensional embeddings,Not in source,Textual Glyph,CNN,9
A novel method for classification of tabular data using convolutional neural networks,10.1101/2020.05.02.074112,Tabular Convolution (TAC),Feature vectors transformed into kernels,Kernel method,Not in source,Resnet,9
SuperTML: Two-Dimensional Word Embedding for the Precognition on Structured Tabular Data,arXiv:1903.06246v3,SuperTML_VF,Projected onto two-dimensional embeddings based on feature importance,XGBoost (for feature importance calculation),Textual Glyph,"SE-net, PolyNet, ResNet","15, 16"
SuperTML: Two-Dimensional Word Embedding for the Precognition on Structured Tabular Data,arXiv:1903.06246v3,SuperTML_EF,Projected onto two-dimensional embeddings with equal font size,ImageNet pre-trained CNN fine-tuning,Textual Glyph,"SE-net-154, PolyNet, ResNet","15, 16"
SuperTML: Two-Dimensional Word Embedding for the Precognition on Structured Tabular Data,arXiv:1903.06246v3,Squared English Word (SEW),String-to-glyph conversion in square space,Super Characters method adaptation,Textual Glyph (Squared character format),Super Characters,16
TINTOlib: A Python library for transforming tabular data into synthetic images for deep neural networks,10.1016/j.softx.2025.102444,TINTO,Manifold Projection (Inferred),t-SNE,Dense / Sparse,"t-SNE, CNN, ViT","17, 18, 19, 12"
